EventId,Cur,Event,Period,Date,Time,ActualRaw,ActualEffective,ActualRevisedFrom,Forecast,PreviousRaw,Previous,PreviousRevisedFrom
USD::10 - year note auction::none,USD,10-Year Note Auction  (Dec),dec,2008-01-01,17:00,4.25%,4.25%,,,4.25%,4.25%,
USD::5 - year note auction::none,USD,5-Year Note Auction  (Dec),dec,2008-01-01,17:00,3.63%,3.63%,,,3.38%,3.38%,
USD::all car sales::none,USD,All Car Sales  (Dec),dec,2008-01-01,17:00,7.60M,7.60M,,,7.91M,7.91M,
USD::all truck sales::none,USD,All Truck Sales  (Dec),dec,2008-01-01,17:00,8.12M,8.12M,,,8.13M,8.13M,
GBP::average earnings index +bonus::none,GBP,Average Earnings Index +Bonus  (Dec),dec,2008-01-01,17:00,4.00%,4.00%,,,4.80%,4.80%,
GBP::average earnings ex bonus::none,GBP,Average Earnings ex Bonus  (Dec),dec,2008-01-01,17:00,4.00%,4.00%,,,4.20%,4.20%,
USD::average hourly earnings::m/m,USD,Average Hourly Earnings (MoM)  (Dec),dec,2008-01-01,17:00,0.30%,0.30%,,,0.20%,0.20%,
USD::average weekly hours::none,USD,Average Weekly Hours  (Dec),dec,2008-01-01,17:00,34.60,34.60,,,34.50,34.50,
GBP::brc retail sales monitor::y/y,GBP,BRC Retail Sales Monitor (YoY)  (Dec),dec,2008-01-01,17:00,0.30%,0.30%,,,1.20%,1.20%,
GBP::boe consumer credit::none,GBP,BoE Consumer Credit  (Dec),dec,2008-01-01,17:00,0.10B,0.10B,,,0.82B,0.82B,
CAD::budget balance::none,CAD,Budget Balance  (Dec),dec,2008-01-01,17:00,1.84B,1.84B,,,0.49B,0.49B,
CAD::budget balance::y/y,CAD,Budget Balance (YoY)  (Dec),dec,2008-01-01,17:00,8.45B,8.45B,,,6.60B,6.60B,
CAD::building permits::m/m,CAD,Building Permits (MoM)  (Dec),dec,2008-01-01,17:00,0.00%,0.00%,,,-9.30%,-9.30%,
