Patch,EventId,Cur,Event,Period,Date,Time,PreviousRaw,PriorActual,PreviousEffective
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2026-01-15,03:00,,0.00,0.00
previous_missing_filled,AUD::RBA Bulletin::none,AUD,RBA Bulletin,,2026-02-26,08:30,,0.00,0.00
previous_missing_filled,USD::Atlanta Fed GDPNow::none,USD,Atlanta Fed GDPNow  (Q1),q1,2026-02-21,00:00,,3.0%,3.0%
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2026-03-05,03:00,,0.00,0.00
previous_missing_filled,JPY::BoJ Monthly Report::none,JPY,BoJ Monthly Report,,2026-03-23,19:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2026-04-16,02:00,,0.00,0.00
previous_missing_filled,AUD::RBA Bulletin::none,AUD,RBA Bulletin,,2026-05-28,09:30,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2026-06-04,02:00,,0.00,0.00
previous_missing_filled,USD::Initial Jobless Claims::none,USD,Initial Jobless Claims,,2026-06-11,20:30,,225K,225K
previous_missing_filled,USD::Jobless Claims 4-Week Avg.::none,USD,Jobless Claims 4-Week Avg.,,2026-06-11,20:30,,214.75K,214.75K
previous_missing_filled,USD::Natural Gas Storage::none,USD,Natural Gas Storage,,2026-06-11,22:30,,95B,95B
previous_missing_filled,USD::Continuing Jobless Claims::none,USD,Continuing Jobless Claims,,2026-06-11,20:30,,"1,777K","1,777K"
previous_missing_filled,"INR::FX Reserves, USD::none",INR,"FX Reserves, USD",,2026-06-12,19:30,,681.38B,681.38B
previous_missing_filled,USD::4-Week Bill Auction::none,USD,4-Week Bill Auction,,2026-06-11,23:30,,3.615%,3.615%
previous_missing_filled,USD::8-Week Bill Auction::none,USD,8-Week Bill Auction,,2026-06-11,23:30,,3.610%,3.610%
previous_missing_filled,USD::U.S. Baker Hughes Oil Rig Count::none,USD,U.S. Baker Hughes Oil Rig Count,,2026-06-13,01:00,,429,429
previous_missing_filled,USD::U.S. Baker Hughes Total Rig Count::none,USD,U.S. Baker Hughes Total Rig Count,,2026-06-13,01:00,,562,562
