EventId,Date,Time,Actual,Forecast,Previous
NA::bahrain - new year's day::none,2023-01-01,All Day,,,
NA::iraq - new year::none,2023-01-01,All Day,,,
NA::jordan - new year's day::none,2023-01-01,All Day,,,
NA::kuwait - new year's day::none,2023-01-01,All Day,,,
NA::oman - new year's day::none,2023-01-01,All Day,,,
NA::palestinian territory - new year's day::none,2023-01-01,All Day,,,
NA::taiwan - new year::none,2023-01-01,All Day,,,
KRW::exports::y/y,2023-01-01,08:00,-9.5%,-10.1%,-14.0%
KRW::imports::y/y,2023-01-01,08:00,-2.4%,-0.6%,2.7%
KRW::trade balance::none,2023-01-01,08:00,-4.69B,-6.74B,-6.99B
NA::australia - new year's day::none,2023-01-02,All Day,,,
NA::bosnia - herzegovina - new year's day::none,2023-01-02,All Day,,,
NA::botswana - new year's day::none,2023-01-02,All Day,,,
NA::bulgaria - new year's day::none,2023-01-02,All Day,,,
NA::canada - new year's day::none,2023-01-02,All Day,,,
NA::china - new year's day::none,2023-01-02,All Day,,,
NA::hong kong - new year's day::none,2023-01-02,All Day,,,
NA::ireland - new year's day::none,2023-01-02,All Day,,,
NA::jamaica - new year's day::none,2023-01-02,All Day,,,
NA::japan - new year's day::none,2023-01-02,All Day,,,
NA::kazakhstan - new year's day::none,2023-01-02,All Day,,,
NA::kenya - new year's day::none,2023-01-02,All Day,,,
NA::malaysia - new year's day::none,2023-01-02,All Day,,,
NA::malta - new year's day::none,2023-01-02,All Day,,,
NA::mauritius - new year's day::none,2023-01-02,All Day,,,
NA::montenegro - new year's day::none,2023-01-02,All Day,,,
NA::new zealand - new year's day::none,2023-01-02,All Day,,,
NA::nigeria - new year's day::none,2023-01-02,All Day,,,
NA::philippines - market holiday::none,2023-01-02,All Day,,,
NA::romania - new year's day::none,2023-01-02,All Day,,,
NA::russia - new year's day::none,2023-01-02,All Day,,,
NA::rwanda - new year's day::none,2023-01-02,All Day,,,
NA::serbia - new year's day::none,2023-01-02,All Day,,,
